order,seasonal_order,aic,bic
"(2, 0, 2)","(1, 1, 1, 24)",27569.780103532787,27614.380677128847
"(1, 1, 2)","(1, 1, 1, 24)",27585.811193602774,27624.83310299219
"(2, 0, 1)","(1, 1, 1, 24)",27588.704428084733,27627.733520645637
"(1, 0, 2)","(1, 1, 1, 24)",27591.400688525842,27630.426190422397
"(0, 1, 2)","(1, 1, 1, 24)",27600.306028290754,27633.75337919597
