order,seasonal_order,aic,bic
"(2, 1, 0)","(1, 1, 1, 24)",31272.03396851516,31305.484398712204
"(1, 1, 1)","(1, 1, 1, 24)",31277.07569336123,31310.526123558273
"(2, 1, 1)","(1, 1, 1, 24)",31271.614520524745,31310.6400224213
"(1, 1, 2)","(1, 1, 1, 24)",31282.93748547219,31321.959394861606
"(0, 1, 2)","(1, 1, 1, 24)",31301.399773481207,31334.847124386422
