timestamp,strategy,reason,duration_s,ewma_z
2020-07-25 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0172
2020-07-25 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0175
2020-07-26 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0148
2020-07-26 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0147
2020-07-26 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0137
2020-07-26 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.015
2020-07-27 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0131
2020-07-27 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0187
2020-07-27 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0167
2020-07-27 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0183
2020-07-28 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0157
2020-07-28 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0119
2020-07-28 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0117
2020-07-28 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0132
2020-07-29 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0116
2020-07-29 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0113
2020-07-29 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0103
2020-07-29 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0108
2020-07-30 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0115
2020-07-30 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0115
2020-07-30 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0095
2020-07-30 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0126
2020-07-31 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0111
2020-07-31 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0127
2020-07-31 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0111
2020-07-31 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0149
2020-08-01 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0138
2020-08-01 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0127
2020-08-01 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0115
2020-08-01 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0147
2020-08-02 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0181
2020-08-02 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0154
2020-08-02 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0134
2020-08-02 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0165
2020-08-03 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0147
2020-08-03 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0232
2020-08-03 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0191
2020-08-03 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0156
2020-08-04 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0127
2020-08-04 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.012
2020-08-04 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.012
2020-08-04 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0115
2020-08-05 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0112
2020-08-05 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0136
2020-08-05 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0115
2020-08-05 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0145
2020-08-06 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.016
2020-08-06 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0172
2020-08-06 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0166
2020-08-06 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.016
2020-08-07 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0175
