order,seasonal_order,aic,bic
"(2, 1, 2)","(1, 1, 1, 24)",29786.717271763824,29831.313739637444
"(2, 0, 2)","(1, 1, 1, 24)",29790.74526795366,29835.34584154972
"(2, 0, 1)","(1, 1, 1, 24)",29809.356950012094,29848.386042572998
"(1, 1, 2)","(1, 1, 1, 24)",29829.03925034078,29868.061159730194
"(1, 1, 1)","(1, 1, 1, 24)",29842.380064653335,29875.83049485038
