timestamp,strategy,reason,duration_s,ewma_z,threshold
2020-09-20 00:00:00+00:00,Rolling Refit,Scheduled,24.31,469.788,1533.587
2020-09-21 00:00:00+00:00,Rolling Refit,Scheduled,26.47,547.101,1539.373
2020-09-22 00:00:00+00:00,Rolling Refit,Scheduled,23.95,498.291,1567.413
2020-09-23 00:00:00+00:00,Rolling Refit,Scheduled,25.41,471.744,1560.268
2020-09-24 00:00:00+00:00,Rolling Refit,Scheduled,24.16,462.503,1560.268
2020-09-25 00:00:00+00:00,Rolling Refit,Scheduled,24.61,574.457,1560.268
2020-09-26 00:00:00+00:00,Rolling Refit,Scheduled,24.2,444.69,1552.213
2020-09-27 00:00:00+00:00,Rolling Refit,Scheduled,23.01,612.922,1560.268
2020-09-28 00:00:00+00:00,Rolling Refit,Scheduled,23.38,575.602,1560.268
2020-09-29 00:00:00+00:00,Rolling Refit,Scheduled,24.7,508.175,1552.213
2020-09-30 00:00:00+00:00,Rolling Refit,Scheduled,26.9,379.013,1552.213
